#,abbr,Name,Market Cap,Price,Volume (24h),Circulating Supply,abbr,Change (24h)
1,BTC,Bitcoin,"$182,705,827,950",$10829.90,"$8,270,410,000","16,870,500",BTC,6.86%
2,ETH,Ethereum,"$94,729,904,817",$969.86,"$2,451,670,000","97,673,793",ETH,3.17%
3,XRP,Ripple,"$46,420,186,663",$1.19,"$1,090,740,000","39,009,215,838",XRP,4.59%
4,BCH,Bitcoin Cash,"$25,906,881,240",$1526.40,"$675,695,000","16,972,538",BCH,0.79%
5,LTC,Litecoin,"$12,520,552,080",$226.58,"$967,000,000","55,258,858",LTC,-2.96%
6,ADA,Cardano,"$10,708,191,257",$0.413012,"$320,392,000","25,927,070,538",ADA,1.99%
7,NEO,NEO,"$8,903,180,000",$136.97,"$300,804,000","65,000,000",NEO,6.91%
8,XLM,Stellar,"$8,698,428,757",$0.471778,"$99,668,100","18,437,546,383",XLM,4.37%
9,EOS,EOS,"$6,802,392,647",$10.07,"$265,281,000","675,443,615",EOS,0.67%
10,MIOTA,IOTA,"$6,063,100,588",$2.18,"$41,074,700","2,779,530,283",MIOTA,3.95%
11,DASH,Dash,"$5,812,790,910",$736.74,"$115,141,000","7,889,881",DASH,5.34%
12,XEM,NEM,"$5,322,680,999",$0.591409,"$140,640,000","8,999,999,999",XEM,4.06%
13,XMR,Monero,"$5,118,358,457",$325.35,"$134,197,000","15,732,095",XMR,11.57%
14,LSK,Lisk,"$4,209,350,514",$35.62,"$103,359,000","118,165,168",LSK,11.54%
15 ,TRX,TRON,"$3,523,189,217",$0.053586,"$271,454,000","65,748,192,475",TRX,6.32%
16,ETC,Ethereum Classic,"$3,475,642,843",$34.78,"$447,764,000","99,925,044",ETC,0.65%
17,VEN,VeChain,"$2,788,204,783",$5.94,"$55,808,200","469,780,692",VEN,1.60%
18,QTUM,Qtum,"$2,460,219,853",$33.30,"$159,545,000","73,888,464",QTUM,0.67%
19,BTG,Bitcoin Gold,"$2,368,169,449",$140.71,"$55,947,300","16,830,024",BTG,0.91%
20,USDT,Tether,"$2,220,976,467",$1.00,"$2,681,810,000","2,217,140,814",USDT,-0.01%
21,ICX,ICON,"$2,121,290,575",$5.50,"$95,191,000","385,942,514",ICX,16.15%
22,OMG,OmiseGO,"$1,856,919,336",$18.20,"$74,335,000","102,042,552",OMG,4.01%
23,ZEC,Zcash,"$1,614,884,972",$489.45,"$86,063,900","3,299,394",ZEC,2.46%
24,XVG,Verge,"$1,297,922,271",$0.088858,"$289,379,000","14,606,635,627",XVG,42.04%
25,XRB,Nano,"$1,292,471,096",$9.70,"$29,984,600","133,248,289",XRB,-1.11%
26,BNB,Binance Coin,"$1,141,324,477",$11.53,"$82,753,800","99,014,000",BNB,5.49%
27,STEEM,Steem,"$1,131,092,672",$4.54,"$21,519,600","249,385,445",STEEM,0.41%
28,PPT,Populous,"$1,107,856,160",$29.94,"$20,526,200","37,004,027",PPT,0.26%
29,BCN,Bytecoin,"$1,094,862,224",$0.005959,"$5,252,680","183,733,468,116",BCN,6.62%
30,SC,Siacoin,"$1,007,706,012",$0.030967,"$50,714,100","32,541,286,269",SC,17.40%
31,STRAT,Stratis,"$968,296,306",$9.81,"$19,391,200","98,744,282",STRAT,3.78%
32,RHOC,RChain,"$827,990,335",$2.31,"$958,917","358,732,436",RHOC,8.81%
33,SNT,Status,"$807,807,159",$0.232765,"$79,702,700","3,470,483,788",SNT,1.46%
34,DOGE,Dogecoin,"$788,770,923",$0.006966,"$19,013,000","113,238,532,242",DOGE,-1.68%
35,WAVES,Waves,"$776,587,000",$7.77,"$35,949,500","100,000,000",WAVES,1.21%
36,BTS,BitShares,"$739,051,129",$0.283284,"$20,298,700","2,608,870,000",BTS,6.52%
37,MKR,Maker,"$727,728,273",$1177.12,"$1,367,000","618,228",MKR,2.88%
38,UCASH,U.CASH,"$686,520,901",$0.079405,"$773,510","8,645,847,169",UCASH,82.15%
39,WTC,Waltonchain,"$681,199,211",$27.36,"$9,294,990","24,898,178",WTC,0.49%
40,ZRX,0x,"$650,711,124",$1.28,"$33,462,600","510,301,631",ZRX,4.84%
41,DCR,Decred,"$636,140,051",$93.90,"$1,796,700","6,774,734",DCR,6.12%
42,AE,Aeternity,"$619,342,783",$2.66,"$3,045,740","233,020,472",AE,2.19%
43,REP,Augur,"$600,606,600",$54.60,"$6,840,350","11,000,000",REP,2.24%
44,VERI,Veritaseum,"$579,553,936",$284.56,"$249,194","2,036,645",VERI,2.38%
45,HSR,Hshare,"$568,877,899",$13.34,"$68,939,700","42,635,571",HSR,0.91%
46,KMD,Komodo,"$568,103,559",$5.50,"$24,429,500","103,380,275",KMD,6.21%
47,ZCL,ZClassic,"$539,037,476",$161.69,"$13,443,800","3,333,813",ZCL,-0.75%
48,KCS,KuCoin Shares,"$537,175,088",$5.90,"$2,048,270","91,043,076",KCS,0.72%
49,ETN,Electroneum,"$531,036,312",$0.085892,"$2,666,270","6,182,583,447",ETN,6.17%
50,ARDR,Ardor,"$523,362,848",$0.523887,"$9,475,040","998,999,495",ARDR,-0.33%
51,ARK,Ark,"$502,031,432",$4.99,"$7,525,510","100,694,878",ARK,2.73%
52,R,Revain,"$500,329,847",$2.71,"$15,033,700","184,450,000",R,-5.76%
53,DGD,DigixDAO,"$487,896,000",$243.95,"$6,366,190","2,000,000",DGD,0.71%
54,DGB,DigiByte,"$470,765,195",$0.047767,"$8,184,970","9,855,386,311",DGB,9.77%
55,DRGN,Dragonchain,"$469,879,575",$1.97,"$2,385,970","238,421,940",DRGN,4.29%
56,GAS,Gas," $466,234,072",$47.84,"$5,594,180","9,745,023",GAS,3.54%
57,BAT,Basic Attenti...,"$466,206,000",$0.466206,"$4,834,570","1,000,000,000",BAT,7.98%
58 ,GBYTE,Byteball Bytes,"$452,618,108",$701.49,"$771,022","645,222",GBYTE,-0.37%
59,ZIL,Zilliqa,"$448,516,837",$0.068884,"$13,685,700","6,511,228,178",ZIL,16.43%
60,LRC,Loopring,"$428,628,771",$0.763762,"$2,307,850","561,207,249",LRC,7.74%
61,GNT,Golem,"$407,674,640",$0.488665,"$14,047,800","834,262,000",GNT,10.67%
62,BTM,Bytom,"$390,802,650",$0.395950,"$10,341,900","987,000,000",BTM,2.29%
63,KNC,Kyber Network,"$390,599,779",$2.91,"$5,881,600","134,132,697",KNC,-0.63%
64,MONA,MonaCoin,"$374,013,660",$6.51,"$21,406,500","57,489,000",MONA,10.09%
65,SYS,Syscoin,"$366,417,968",$0.690031,"$2,907,220","531,016,676",SYS,4.93%
66,PIVX,PIVX,"$365,680,030",$6.58,"$12,009,600","55,598,300",PIVX,3.26%
67,ELF,aelf,"$362,317,500",$1.45,"$20,327,600","250,000,000",ELF,3.93%
68,QASH,QASH,"$359,453,500",$1.03,"$4,532,200","350,000,000",QASH,6.79%
69,CNX,Cryptonex,"$350,309,132",$7.76,"$216,987","45,121,299",CNX,6.10%
70,DCN,Dentacoin,"$341,074,906",$0.001049,"$613,684","325,226,613,094",DCN,-3.19%
71,AION,Aion,"$340,908,984",$3.83,"$7,706,000","89,090,430",AION,25.32%
72,BTX,Bitcore," $339,811,942",$29.91,"$1,606,130","11,360,199",BTX,6.26%
73,NAS,Nebulas,"$331,172,755",$9.33,"$9,145,520","35,500,000",NAS,1.30%
74,IOST,IOStoken,"$325,168,818",$0.047860,"$62,222,500","6,794,109,922",IOST,11.56%
75,ETHOS,Ethos,"$323,382,922",$4.27,"$2,032,310","75,800,630",ETHOS,1.41%
76,FCT,Factom,"$311,908,930",$35.67,"$4,437,740","8,745,102",FCT,7.50%
77,PLR,Pillar,"$310,539,421",$1.37,"$363,712","227,384,800",PLR,-2.90%
78,POWR,Power Ledger,"$306,008,515",$0.841058,"$10,452,000","363,837,589",POWR,-0.41%
79,GXS,GXShares,"$299,375,400",$4.99,"$10,956,100","60,000,000",GXS,1.89%
80,FUN,FunFair,"$290,056,473",$0.064404,"$5,455,090","4,503,688,789",FUN,11.13%
81,SALT,SALT,"$288,860,214",$5.41,"$9,296,010","53,434,349",SALT,6.95%
82,DENT,Dent,"$279,428,275",$0.026325,"$2,500,260","10,614,760,961",DENT,2.09%
83,KIN,Kin,"$279,411,317",$0.000370,"$401,123","756,097,560,976",KIN,19.60%
84,CND,Cindicator,"$270,046,250",$0.186757,"$6,781,120","1,445,976,590",CND,4.48%
85,XZC,ZCoin,"$263,798,972",$63.98,"$4,130,930","4,123,077",XZC,7.21%
86,NXT,Nxt,"$263,009,712",$0.263273,"$16,227,100","998,999,942",NXT,4.23%
87,ENG,Enigma,"$258,823,891",$3.46,"$4,409,340","74,836,171",ENG,4.55%
88,POLY,Polymath,"$258,057,886",$1.08,"$1,955,730","239,570,250",POLY,8.94%
89,LINK,ChainLink,"$235,446,050",$0.672703,"$11,015,600","350,000,000",LINK,13.34%
90,RDD,ReddCoin,"$232,707,770",$0.008093,"$1,957,940","28,755,269,577",RDD,3.76%
91,MAID,MaidSafeCoin,"$230,703,526",$0.509783,"$1,823,020","452,552,412",MAID,4.37%
92,NEBL,Neblio,"$230,483,548",$17.97,"$11,228,700","12,825,305",NEBL,-4.37%
93,REQ,Request Network,"$228,155,478",$0.355680,"$3,964,120","641,462,769",REQ,6.30%
94,QSP,Quantstamp,"$226,796,288",$0.367392,"$7,478,600","617,314,171",QSP,19.07%
95,BNT,Bancor,"$223,236,751",$5.77,"$4,821,450","38,721,558",BNT,4.51%
96,PART,Particl,"$222,402,713",$25.06,"$351,898","8,874,490",PART,8.57%
97,PAY,TenX,"$220,350,782",$2.11,"$3,140,360","104,661,310",PAY,7.72%
98,WAX,WAX,"$213,015,515",$0.432120,"$39,779,400","492,954,537",WAX,-5.01%
99,SAN,Santiment Net...,"$207,750,460",$3.32,"$12,426,600","62,660,371",SAN,10.74%
